,hadron,Q2,x,z,phT,1D_dependence
0,pi+,6.297777777777778,0.006469,0.35666666666666663,0.4833333333333333,x
1,pi+,6.297777777777778,0.009212747474747474,0.35666666666666663,0.4833333333333333,x
2,pi+,6.297777777777778,0.01195649494949495,0.35666666666666663,0.4833333333333333,x
3,pi+,6.297777777777778,0.014700242424242425,0.35666666666666663,0.4833333333333333,x
4,pi+,6.297777777777778,0.0174439898989899,0.35666666666666663,0.4833333333333333,x
5,pi+,6.297777777777778,0.020187737373737375,0.35666666666666663,0.4833333333333333,x
6,pi+,6.297777777777778,0.022931484848484847,0.35666666666666663,0.4833333333333333,x
7,pi+,6.297777777777778,0.025675232323232322,0.35666666666666663,0.4833333333333333,x
8,pi+,6.297777777777778,0.028418979797979797,0.35666666666666663,0.4833333333333333,x
9,pi+,6.297777777777778,0.031162727272727272,0.35666666666666663,0.4833333333333333,x
10,pi+,6.297777777777778,0.03390647474747475,0.35666666666666663,0.4833333333333333,x
11,pi+,6.297777777777778,0.03665022222222222,0.35666666666666663,0.4833333333333333,x
12,pi+,6.297777777777778,0.0393939696969697,0.35666666666666663,0.4833333333333333,x
13,pi+,6.297777777777778,0.04213771717171717,0.35666666666666663,0.4833333333333333,x
14,pi+,6.297777777777778,0.04488146464646465,0.35666666666666663,0.4833333333333333,x
15,pi+,6.297777777777778,0.047625212121212124,0.35666666666666663,0.4833333333333333,x
16,pi+,6.297777777777778,0.0503689595959596,0.35666666666666663,0.4833333333333333,x
17,pi+,6.297777777777778,0.053112707070707074,0.35666666666666663,0.4833333333333333,x
18,pi+,6.297777777777778,0.05585645454545455,0.35666666666666663,0.4833333333333333,x
19,pi+,6.297777777777778,0.058600202020202025,0.35666666666666663,0.4833333333333333,x
20,pi+,6.297777777777778,0.0613439494949495,0.35666666666666663,0.4833333333333333,x
21,pi+,6.297777777777778,0.06408769696969698,0.35666666666666663,0.4833333333333333,x
22,pi+,6.297777777777778,0.06683144444444444,0.35666666666666663,0.4833333333333333,x
23,pi+,6.297777777777778,0.06957519191919193,0.35666666666666663,0.4833333333333333,x
24,pi+,6.297777777777778,0.0723189393939394,0.35666666666666663,0.4833333333333333,x
25,pi+,6.297777777777778,0.07506268686868688,0.35666666666666663,0.4833333333333333,x
26,pi+,6.297777777777778,0.07780643434343434,0.35666666666666663,0.4833333333333333,x
27,pi+,6.297777777777778,0.08055018181818183,0.35666666666666663,0.4833333333333333,x
28,pi+,6.297777777777778,0.0832939292929293,0.35666666666666663,0.4833333333333333,x
29,pi+,6.297777777777778,0.08603767676767678,0.35666666666666663,0.4833333333333333,x
30,pi+,6.297777777777778,0.08878142424242425,0.35666666666666663,0.4833333333333333,x
31,pi+,6.297777777777778,0.09152517171717173,0.35666666666666663,0.4833333333333333,x
