,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.29,0.036,0.702,0.336,0.486,0.23358897247415197,0.00875557,x
1,pi+,1.64,0.056,0.567,0.356,0.408,0.21101133213405965,0.007397973,x
2,pi+,1.98,0.074,0.516,0.366,0.375,0.203964279867261,0.008782369,x
3,pi+,2.34,0.093,0.489,0.374,0.358,0.20386844157008355,0.007749194,x
4,pi+,2.34,0.093,0.489,0.374,0.358,0.20386844157008355,0.007749194,x
5,pi+,2.87,0.118,0.469,0.379,0.348,0.2072694086812691,0.007595393,x
6,pi+,3.69,0.157,0.456,0.379,0.342,0.21297053190305293,0.007640026,x
7,pi+,5.71,0.254,0.437,0.375,0.343,0.22801185760607576,0.009352005,x
8,pi+,2.44,0.087,0.594,0.229,0.344,0.12801081750036952,0.005491812,z
9,pi+,2.46,0.094,0.556,0.289,0.371,0.17464754314707376,0.006020797,z
10,pi+,2.45,0.098,0.533,0.349,0.394,0.22050109721245856,0.007340981,z
11,pi+,2.45,0.1,0.52,0.413,0.418,0.26758382923623714,0.00813941,z
12,pi+,2.44,0.101,0.508,0.483,0.441,0.3120249481519171,0.011552056,z
13,pi+,2.44,0.101,0.508,0.483,0.441,0.3120249481519171,0.011552056,z
14,pi+,2.43,0.102,0.499,0.558,0.46,0.34701941535539454,0.012384668,z
15,pi+,2.41,0.104,0.481,0.647,0.466,0.36062975650531987,0.015425304,z
16,pi+,2.41,0.107,0.457,0.729,0.453,0.3458174820791629,0.021260292,z
17,pi+,2.35,0.108,0.434,0.798,0.433,0.320573773075755,0.023052115,z
18,pi+,2.31,0.116,0.394,0.916,0.376,0.2610368817129217,0.021890866,z
19,pi+,2.56,0.11,0.46,0.341,0.11,0.055087687199669805,0.006911584,phT
20,pi+,2.56,0.108,0.489,0.35,0.211,0.11004094753406705,0.00741485,phT
21,pi+,2.52,0.103,0.514,0.354,0.28,0.15003052869857617,0.008372574,phT
22,pi+,2.46,0.097,0.54,0.355,0.345,0.1894627119580552,0.009291394,phT
23,pi+,2.46,0.097,0.54,0.355,0.345,0.1894627119580552,0.009291394,phT
24,pi+,2.39,0.09,0.57,0.356,0.446,0.258575569912534,0.009700515,phT
25,pi+,2.34,0.084,0.601,0.373,0.594,0.40100614439045,0.012816006,phT
26,pi+,2.3,0.076,0.642,0.429,0.849,0.8673086393498782,0.010870603,phT
27,pi0,1.3,0.036,0.712,0.325,0.492,0.2309874507644031,0.036200829,x
28,pi0,1.72,0.056,0.597,0.352,0.406,0.2079463232410139,0.031942761,x
29,pi0,2.14,0.074,0.558,0.366,0.374,0.20329285868474592,0.035141144,x
30,pi0,2.58,0.093,0.538,0.372,0.353,0.19969106096593944,0.030734996,x
31,pi0,2.58,0.093,0.538,0.372,0.353,0.19969106096593944,0.030734996,x
32,pi0,3.19,0.118,0.522,0.378,0.338,0.19978824501358586,0.031110288,x
33,pi0,4.1,0.156,0.507,0.38,0.323,0.19911069548138563,0.02973096,x
34,pi0,6.14,0.249,0.479,0.386,0.326,0.2181150054068984,0.033160217,x
35,pi0,2.45,0.078,0.648,0.229,0.337,0.122632952085356,0.034340646,z
36,pi0,2.49,0.085,0.609,0.289,0.372,0.1720559380829569,0.031331294,z
37,pi0,2.52,0.09,0.581,0.348,0.401,0.2215390984025209,0.030972569,z
38,pi0,2.53,0.095,0.558,0.413,0.427,0.2727014484497268,0.030304125,z
39,pi0,2.55,0.099,0.537,0.483,0.45,0.31964348617233657,0.031590505,z
40,pi0,2.55,0.099,0.537,0.483,0.45,0.31964348617233657,0.031590505,z
41,pi0,2.57,0.102,0.517,0.557,0.469,0.35642795001833516,0.032557641,z
42,pi0,2.59,0.106,0.496,0.645,0.483,0.3804517982811207,0.03246244,z
43,pi0,2.61,0.112,0.472,0.728,0.494,0.3927052801955587,0.043488504,z
44,pi0,2.66,0.116,0.457,0.796,0.488,0.38078635380844783,0.043887698,z
45,pi0,2.56,0.121,0.418,0.908,0.478,0.35612394117921464,0.049152213,z
46,pi0,2.82,0.114,0.481,0.338,0.111,0.055610805733853734,0.032318725,phT
47,pi0,2.69,0.103,0.529,0.34,0.211,0.1069633549904776,0.03242607,phT
48,pi0,2.59,0.095,0.563,0.343,0.28,0.14463956100646894,0.03375574,phT
49,pi0,2.49,0.088,0.591,0.347,0.345,0.18313954897497337,0.033147096,phT
50,pi0,2.49,0.088,0.591,0.347,0.345,0.18313954897497337,0.033147096,phT
51,pi0,2.39,0.081,0.624,0.353,0.446,0.25205624569330115,0.027658814,phT
52,pi0,2.3,0.074,0.652,0.371,0.595,0.39119275611263477,0.027647966,phT
53,pi0,2.27,0.071,0.675,0.428,0.849,0.8550411290524416,0.026956446,phT
54,pi-,1.29,0.036,0.704,0.33,0.481,0.22688395256354313,0.009343447,x
55,pi-,1.64,0.056,0.568,0.35,0.402,0.20448389067727368,0.008102469,x
56,pi-,1.98,0.074,0.515,0.359,0.369,0.19724545165693502,0.009908078,x
57,pi-,2.33,0.093,0.487,0.366,0.354,0.19815700849682263,0.008736704,x
58,pi-,2.33,0.093,0.487,0.366,0.354,0.19815700849682263,0.008736704,x
59,pi-,2.86,0.118,0.468,0.369,0.348,0.20358170170526932,0.009027181,x
60,pi-,3.66,0.156,0.454,0.369,0.342,0.20897569229452026,0.009166242,x
61,pi-,5.66,0.253,0.434,0.364,0.349,0.22802186854767867,0.011081967,x
