,Dependence,x1,x2,xF,QT,QM,Siv,tot_err
0,x1,0.1,0.61,0.5,1.22,4.8,0.09511970069317564,0.126
1,x1,0.16,0.47,0.31,1.25,5.26,0.10559710434015175,0.12
2,x1,0.25,0.4,0.15,1.23,5.98,0.11106251615897715,0.117
3,x2,0.21,0.31,0.1,1.36,4.99,0.11983131579283436,0.118
4,x2,0.16,0.48,0.31,1.23,5.35,0.10390755067070936,0.12
5,x2,0.13,0.69,0.56,1.12,5.68,0.09140557524229125,0.124
6,xF,0.23,0.32,0.09,1.33,5.26,0.11872918746887334,0.12
7,xF,0.16,0.47,0.31,1.26,5.33,0.10644188117487302,0.12
8,xF,0.12,0.68,0.56,1.13,5.43,0.09096480012944762,0.123
9,QT,0.17,0.52,0.35,0.66,5.32,0.05630040004711407,0.12
10,QT,0.17,0.5,0.33,1.13,5.33,0.09639310917157407,0.124
11,QT,0.17,0.46,0.29,1.97,5.37,0.16804816377699194,0.118
12,QM,0.13,0.44,0.31,1.23,4.51,0.10038290852501632,0.122
13,QM,0.16,0.48,0.32,1.23,5.08,0.10390755067070935,0.125
14,QM,0.22,0.56,0.34,1.25,6.43,0.11088571781059132,0.116
