qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,BeamE,frac_error
0.1,2.88,1.590909091,1.810285714,0.12,0.075428571,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.041666667
0.3,2.76,0.53030303,5.204571429,0.08,0.150857143,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.028985507
0.5,2.3,0.318181818,7.228571429,0.07,0.22,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.030434783
0.7,2.08,0.227272727,9.152,0.07,0.308,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.033653846
0.9,1.48,0.176767677,8.372571429,0.06,0.339428571,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.040540541
1.1,1.18,0.144628099,8.158857143,0.06,0.414857143,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.050847458
1.3,0.817,0.122377622,6.676057143,0.048,0.392228571,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.05875153
1.5,0.59,0.106060606,5.562857143,0.043,0.405428571,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.072881356
1.7,0.458,0.093582888,4.894057143,0.037,0.395371429,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.080786026
1.9,0.319,0.083732057,3.809771429,0.032,0.382171429,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.10031348
2.1,0.167,0.075757576,2.2044,0.024,0.3168,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.143712575
2.3,0.111,0.06916996,1.604742857,0.021,0.3036,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.189189189
2.5,0.071,0.063636364,1.115714286,0.019,0.298571429,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.267605634
2.7,0.049,0.058922559,0.8316,0.015,0.254571429,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.306122449
2.9,0.053,0.054858934,0.966114286,0.014,0.2552,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.264150943
3.1,0.008,0.051319648,0.155885714,0.013,0.253314286,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,1.625
3.5,0.026,0.045454545,0.572,0.013,0.286,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,0.5
3.7,0.01,0.042997543,0.232571429,0.01,0.232571429,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,1
4.5,0.027,0.035353535,0.763714286,0.028,0.792,0.00%,0.00%,0.03,0.027500659,0.032998961,5.5,5,6,27.39342987,0.012048491,0.010953174,0.013143809,0.206892673,0.194844182,400,1.037037037
0.1,1.04,1.590909091,0.653714286,0.03,0.018857143,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.028846154
0.3,0.966,0.53030303,1.8216,0.018,0.033942857,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.01863354
0.5,0.894,0.318181818,2.809714286,0.016,0.050285714,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.017897092
0.7,0.707,0.227272727,3.1108,0.014,0.0616,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.01980198
0.9,0.594,0.176767677,3.360342857,0.014,0.0792,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.023569024
1.1,0.44,0.144628099,3.042285714,0.012,0.082971429,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.027272727
1.3,0.33,0.122377622,2.696571429,0.011,0.089885714,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.033333333
1.5,0.217,0.106060606,2.046,0.009,0.084857143,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.041474654
1.7,0.153,0.093582888,1.634914286,0.007,0.0748,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.045751634
1.9,0.088,0.083732057,1.050971429,0.006,0.071657143,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.068181818
2.1,0.061,0.075757576,0.8052,0.005,0.066,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.081967213
2.3,0.05,0.06916996,0.722857143,0.004,0.057828571,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.08
2.5,0.025,0.063636364,0.392857143,0.003,0.047142857,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.12
2.7,0.02,0.058922559,0.339428571,0.003,0.050914286,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.15
2.9,0.014,0.054858934,0.2552,0.003,0.054685714,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.214285714
3.1,0.0059,0.051319648,0.114965714,0.0021,0.04092,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.355932203
3.3,0.0064,0.048209366,0.132754286,0.0019,0.039411429,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.296875
3.5,0.0038,0.045454545,0.0836,0.0012,0.0264,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.315789474
3.7,0.0031,0.042997543,0.072097143,0.0015,0.034885714,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,0.483870968
3.9,0.0005,0.040792541,0.012257143,0.0009,0.022062857,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,1.8
4.1,0.0005,0.038802661,0.012885714,0.0005,0.012885714,0.00%,0.00%,0.03,0.027857718,0.032499154,6.5,6,7,27.39342987,0.014239126,0.013143809,0.015334444,0.244509523,0.230270397,400,1
