qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,BeamE,frac_error
0.1,6.29,1.590909091,3.953714286,0.32,0.201142857,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.050874404
0.3,5.88,0.53030303,11.088,0.24,0.452571429,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.040816327
0.5,4.75,0.318181818,14.92857143,0.23,0.722857143,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.048421053
0.7,3.69,0.227272727,16.236,0.22,0.968,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.059620596
0.9,2.93,0.176767677,16.57542857,0.22,1.244571429,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.075085324
1.1,1.68,0.144628099,11.616,0.16,1.106285714,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.095238095
1.3,1.26,0.122377622,10.296,0.14,1.144,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.111111111
1.5,0.678,0.106060606,6.392571429,0.124,1.169142857,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.182890855
1.7,0.598,0.093582888,6.390057143,0.102,1.089942857,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.170568562
1.9,0.059,0.083732057,0.704628571,0.067,0.800171429,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,1.13559322
2.1,0.176,0.075757576,2.3232,0.062,0.8184,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.352272727
2.3,0.000001,0.06916996,-0.477085714,0.055,0.795142857,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,-1.666666667
2.5,0.105,0.063636364,1.65,0.056,0.88,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,0.533333333
2.7,0.000001,0.058922559,-1.238914286,0.075,1.272857143,0.00%,0.00%,0.4,0.361736263,0.44705553,4.5,4,5,19.37008002,0.190849544,0.169644039,0.212055048,0.346576325,0.155726781,200,-1.02739726
0.1,1.63,1.590909091,1.024571429,0.11,0.069142857,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.067484663
0.3,1.44,0.53030303,2.715428571,0.08,0.150857143,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.055555556
0.5,1.19,0.318181818,3.74,0.07,0.22,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.058823529
0.7,1.04,0.227272727,4.576,0.07,0.308,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.067307692
0.9,0.601,0.176767677,3.399942857,0.051,0.288514286,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.084858569
1.1,0.441,0.144628099,3.0492,0.043,0.297314286,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.097505669
1.3,0.248,0.122377622,2.026514286,0.03,0.245142857,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.120967742
1.5,0.255,0.106060606,2.404285714,0.036,0.339428571,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.141176471
1.7,0.159,0.093582888,1.699028571,0.028,0.2992,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.176100629
1.9,0.063,0.083732057,0.7524,0.015,0.179142857,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.238095238
2.1,0.044,0.075757576,0.5808,0.016,0.2112,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.363636364
2.3,0.05,0.06916996,0.722857143,0.016,0.231314286,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.32
2.5,0.0081,0.063636364,0.127285714,0.0083,0.130428571,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,1.024691358
2.7,0.0118,0.058922559,0.200262857,0.0087,0.147651429,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,0.737288136
2.9,0.0042,0.054858934,0.07656,0.0042,0.07656,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,1
3.3,0.000001,0.048209366,-0.103714286,0.0051,0.105788571,0.00%,0.00%,0.4,0.368150244,0.437715688,5.5,5,6,19.37008002,0.233260553,0.212055048,0.254466058,0.423593286,0.190332732,200,-1.02
0.1,0.399,1.590909091,0.2508,0.043,0.027028571,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.107769424
0.3,0.342,0.53030303,0.644914286,0.025,0.047142857,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.073099415
0.5,0.333,0.318181818,1.046571429,0.022,0.069142857,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.066066066
0.7,0.255,0.227272727,1.122,0.02,0.088,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.078431373
0.9,0.181,0.176767677,1.023942857,0.017,0.096171429,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.093922652
1.1,0.13,0.144628099,0.898857143,0.014,0.0968,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.107692308
1.3,0.073,0.122377622,0.596514286,0.011,0.089885714,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.150684932
1.5,0.045,0.106060606,0.424285714,0.008,0.075428571,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.177777778
1.7,0.035,0.093582888,0.374,0.007,0.0748,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.2
1.9,0.02,0.083732057,0.238857143,0.006,0.071657143,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.3
2.1,0.0083,0.075757576,0.10956,0.0037,0.04884,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.445783133
2.3,0.0094,0.06916996,0.135897143,0.0043,0.062165714,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.457446809
2.5,0.0053,0.063636364,0.083285714,0.0031,0.048714286,0.00%,0.00%,0.4,0.372722813,0.431469072,6.5,6,7,19.37008002,0.275671563,0.254466058,0.296877068,0.500610247,0.224938684,200,0.58490566
